"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Delta Air Lines","DAL","30283059200","46.92","United States"
"2","Ryanair","RYAAY","24183158784","110.21","Ireland"
"3","InterGlobe Aviation","INDIGO.NS","22673852275","58.7009","India"
"4","United Airlines Holdings","UAL","17415047168","52.96","United States"
"5","Southwest Airlines","LUV","17315637248","28.9","United States"
"6","Singapore Airlines","C6L.SI","15211455771","5.06702","Singapore"
"7","International Consolidated Airlines","BABWF","12858686464","2.61","Spain"
"8","Air China","601111.SS","12300684879","0.891761","China"
"9","Turkish Airlines","THYAO.IS","11795945048","8.57762","Turkey"
"10","China Southern Airlines","600029.SS","11482890457","0.743605","China"
"11","ANA Holdings","9202.T","10187002554","21.3471","Japan"
"12","China Eastern Airlines","600115.SS","9638065258","0.492444","China"
"13","Lufthansa","LHA.DE","8197589787","6.85062","Germany"
"14","LATAM Airlines","LTM","7970264064","26.02","Chile"
"15","Japan Airlines","9201.T","7640663888","17.3879","Japan"
"16","Qantas Airways","QAN.AX","7454138048","4.76705","Australia"
"17","American Airlines","AAL","7243444736","11.03","United States"
"18","Spring Airlines","601021.SS","6663483605","6.80956","China"
"19","Cathay Pacific","0293.HK","6549600716","1.01731","Hong Kong"
"20","Korean Air Lines","003495.KS","6249588858","17.3356","South Korea"
"21","Hainan Airlines","900945.SS","6225155584","0.176","China"
"22","EVA Air","2618.TW","6103144153","1.13012","Taiwan"
"23","easyJet","EZJ.L","5058461358","6.71689","United Kingdom"
"24","Alaska Airlines","ALK","5016081408","39.76","United States"
"25","Air Canada","AC.TO","4345081306","12.1204","Canada"
"26","China Airlines","2610.TW","4003770057","0.661838","Taiwan"
"27","Jet2","JET2.L","3969890199","18.4918","United Kingdom"
"28","Copa Holdings","CPA","3755821056","90.3","Panama"
"29","Pegasus Airlines","PGSUS.IS","3666455012","7.33291","Turkey"
"30","SkyWest","SKYW","3208697088","80.01","United States"
"31","Air France-KLM","AF.PA","2503445106","9.53236","France"
"32","VietJet Aviation","VJC.VN","2313955915","4.27236","Vietnam"
"33","Jetblue Airways","JBLU","1983884672","5.72","United States"
"34","Vietnam Airlines","HVN.VN","1971347262","0.890244","Vietnam"
"35","Wizz Air","WIZZ.L","1776038637","17.1794","Jersey"
"36","Exchange Income Corporation","EIF.TO","1756712544","36.9953","Canada"
"37","Cargojet","CJT.TO","1549521728","95.9385","Canada"
"38","Bangkok Airways","BA.BK","1439465867","0.68546","Thailand"
"39","Air New Zealand","AIR.NZ","1125341628","0.334082","New Zealand"
"40","Norwegian Air Shuttle","NAS.OL","1073400866","1.11363","Norway"
"41","Aegean Airlines","AEGN.AT","1069017092","11.8573","Greece"
"42","Air Transport Services Group","ATSG","1014026944","15.42","United States"
"43","Frontier Airlines","ULCC","985480384","4.39","United States"
"44","Hawaiian Airlines","HA","936176384","18","United States"
"45","Allegiant Air","ALGT","783834944","42.84","United States"
"46","Capital A (Air Asia)","5099.KL","776199157","0.180222","Malaysia"
"47","Volaris","VLRS","774239424","6.73","Mexico"
"48","Jazeera Airways","JAZEERA.KW","720366732","3274.39","Kuwait"
"49","El Al Israel Airlines","ELAL.TA","701450785","1.70128","Israel"
"50","GOL Airlines","GOLL4.SA","652858281","0.203874","Brazil"
"51","Sun Country Airlines","SNCY","597776384","11.32","United States"
"52","Jeju Air","089590.KS","544248823","6.75489","South Korea"
"53","Finnair","FIA1S.HE","540966099","2.64517","Finland"
"54","Asiana Airlines","020560.KS","522104170","7.01642","South Korea"
"55","flyExclusive","FLYX","516600000","3.75","United States"
"56","SpiceJet","SPICEJET.BO","494421599","0.823658","India"
"57","T’way Air","091810.KS","485564015","2.25661","South Korea"
"58","Jin Air","272450.KS","398933035","7.74122","South Korea"
"59","Chorus Aviation","CHR.TO","383235241","2.00532","Canada"
"60","Azul","AZUL","357852800","3.2","Brazil"
"61","Alliance Aviation Services","AQZ.AX","296847726","1.84681","Australia"
"62","Spirit Airlines","SAVE","279270880","2.55","United States"
"63","Icelandair","ICEAIR.IC","267429042","0.00650359","Iceland"
"64","Enter Air","ENT.WA","261935840","14.9304","Poland"
"65","Air Busan","298690.KS","205585876","1.76344","South Korea"
"66","Mesa Air","MESA","52053372","1.26","United States"
"67","Norse Atlantic ASA","NORSE.OL","23331611","0.181535","Norway"
"68","Fly Play","PLAY.IC","10022690","0.011541","Iceland"
"69","Scandinavian Airlines System (SAS)","SAS.ST","6691368","0.000252381","Sweden"
"70","Nok Air","NOKPF","3463860","0.0003","Thailand"
"71","Abu Dhabi Aviation","ADAVIATION.AE","0","0","United Arab Emirates"
"72","Air Arabia","AIRARABIA.AE","0","0","United Arab Emirates"
